Date,Open,High,Low,Close,Adj Close,Volume
2019-08-08,0.060104,0.062034,0.056292,0.061929,0.061929,80911
2019-08-09,0.061877,0.061944,0.057845,0.058872,0.058872,96066
2019-08-10,0.058872,0.064137,0.058853,0.059004,0.059004,63407
2019-08-11,0.059013,0.069575,0.058940,0.066220,0.066220,99078
2019-08-12,0.065370,0.074824,0.060074,0.062413,0.062413,69894
2019-08-13,0.062255,0.071524,0.061933,0.070917,0.070917,111557
2019-08-14,0.070896,0.075554,0.065424,0.066610,0.066610,98190
2019-08-15,0.066610,0.069229,0.063274,0.066155,0.066155,99779
2019-08-16,0.066154,0.070100,0.063543,0.065164,0.065164,59378
2019-08-17,0.065171,0.071327,0.063438,0.071270,0.071270,55850
2019-08-18,0.071273,0.071628,0.066154,0.070551,0.070551,46608
2019-08-19,0.070569,0.074907,0.068699,0.072707,0.072707,39801
2019-08-20,0.072707,0.075297,0.069568,0.073733,0.073733,27104
2019-08-21,0.073740,0.084033,0.069819,0.077122,0.077122,90036
2019-08-22,0.077126,0.083193,0.076003,0.078761,0.078761,99825
2019-08-23,0.078761,0.083657,0.076756,0.078017,0.078017,63677
2019-08-24,0.078030,0.080708,0.076780,0.078994,0.078994,11935
2019-08-25,0.078994,0.078994,0.072143,0.073688,0.073688,37929
2019-08-26,0.073712,0.076256,0.068071,0.071104,0.071104,78419
2019-08-27,0.071104,0.075119,0.067343,0.071805,0.071805,63618
2019-08-28,0.071819,0.074119,0.061946,0.066813,0.066813,139370
2019-08-29,0.066813,0.067103,0.060287,0.062255,0.062255,58902
2019-08-30,0.062246,0.063999,0.047895,0.057252,0.057252,112632
2019-08-31,0.057257,0.060652,0.055367,0.060140,0.060140,38172
2019-09-01,0.060107,0.060546,0.055733,0.058837,0.058837,33905
2019-09-02,0.058837,0.061151,0.056230,0.060470,0.060470,62616
2019-09-03,0.060468,0.061196,0.048268,0.058965,0.058965,78431
2019-09-04,0.058962,0.061486,0.052380,0.057150,0.057150,52487
2019-09-05,0.057156,0.060439,0.053780,0.059534,0.059534,143584
2019-09-06,0.059534,0.061194,0.055370,0.057579,0.057579,78281
2019-09-07,0.057595,0.059648,0.052493,0.059045,0.059045,57149
2019-09-08,0.059028,0.060993,0.055675,0.057461,0.057461,81342
2019-09-09,0.057461,0.061188,0.055752,0.060782,0.060782,64050
2019-09-10,0.060763,0.062835,0.059066,0.060508,0.060508,101797
2019-09-11,0.060508,0.060735,0.058685,0.059695,0.059695,14882
2019-09-12,0.059672,0.062714,0.058930,0.062087,0.062087,36852
2019-09-13,0.062087,0.073618,0.058287,0.060588,0.060588,144091
2019-09-14,0.060620,0.067164,0.058904,0.065330,0.065330,146240
2019-09-15,0.065323,0.066455,0.064026,0.066179,0.066179,33028
2019-09-16,0.066186,0.068255,0.062090,0.066395,0.066395,54045
